,name,id,shelfside score,dan score,ash score,categories,descriptions
10,Monikers,156546,5.0,3.0,4.0,"['Card Game', 'Humor', 'Mature / Adult', 'Party Game', 'Print &amp; Play']","[<description>Monikers is a party game based on the public domain game Celebrities, where players take turns attempting to get their teammates to guess names by describing or imitating well-known people.&lt;br/&gt;&lt;br/&gt;In the first round, clue givers can say anything they want, except for the name itself. For the second round, clue givers can only say one word. And in the final round, clue givers can&amp;rsquo;t say anything at all: they can only use gestures and charades.&lt;br/&gt;&lt;br/&gt;</description>]"
11,Taboo ,1111,8.0,7.0,7.0,"['Party Game', 'Real-time', 'Word Game']","[<description>In the party game Taboo, you're trying to give clues to your teammates so that they'll guess a particular word, but you can't say just anything you like. Some clues are off limits!&lt;br/&gt;&lt;br/&gt;When you're the active player, hold the deck of cards so that you and the opposing team can see the top card. At the top of the card is the word your teammate must say to score the card, and you can anything you want to help them figure out what to guess other than the word itself (duh!) or the five words/phrases listed on the bottom of the card.&lt;br/&gt;&lt;br/&gt;For example, can you get your teammates to say &amp;quot;bacon&amp;quot; without saying &amp;quot;pig&amp;quot;, &amp;quot;eggs&amp;quot;, &amp;quot;breakfast&amp;quot;, &amp;quot;sausage&amp;quot;, or &amp;quot;eat&amp;quot;? If you do, you score the card, then move on to the next card, trying to guess as many cards as possible before time runs out. However, if you say a taboo word (or make gestures), the opposing team will buzz a buzzer and score the card themselves.&lt;br/&gt;&lt;br/&gt;How well can you describe things without breaking the taboo?&lt;br/&gt;&lt;br/&gt;</description>]"
12,Once Upon a Time,1234,8.0,9.0,8.0,"['Card Game', 'Humor', 'Party Game', 'Real-time']","[<description>Once Upon A Time is a game in which the players create a story together, using cards that show typical elements from fairy tales. One player is the Storyteller and creates a story using the ingredients on their cards. They try to guide the plot towards their own ending. The other players try to use cards to interrupt the Storyteller and become the new Storyteller. The winner is the first player to play out all their cards and end with their Happy Ever After card.&lt;br/&gt;&lt;br/&gt;The second edition, published in 1995, features an expanded card set.&lt;br/&gt;&lt;br/&gt;The third edition, published in 2012, features multiple changes, including new artwork by Omar Rayyan, a new card set, and a simplified rulesheet.&lt;br/&gt;&lt;br/&gt;Box says: Contains 110 story cards, 55 ending cards and a rulebook(my box has 114 role cards)&lt;br/&gt;See Also&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;    Dark Cults&lt;br/&gt;    The Secret Adventures of The Old Hellfire Club&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;</description>]"
14,Codenames,178900,7.0,4.0,3.0,"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']","[<description>Two rival spymasters know the secret identities of 25 agents. Their teammates know the agents only by their codenames &amp;mdash; single-word labels like &amp;quot;disease&amp;quot;, &amp;quot;Germany&amp;quot;, and &amp;quot;carrot&amp;quot;. Yes, carrot. It's a legitimate codename. Each spymaster wants their team to identify their agents first...without uncovering the assassin by mistake.&lt;br/&gt;&lt;br/&gt;In Codenames, two teams compete to see who can make contact with all of their agents first. Lay out 25 cards, each bearing a single word. The spymasters look at a card showing the identity of each card, then take turns clueing their teammates. A clue consists of a single word and a number, with the number suggesting how many cards in play have some association to the given clue word. The teammates then identify one agent they think is on their team; if they're correct, they can keep guessing up to the stated number of times; if the agent belongs to the opposing team or is an innocent bystander, the team's turn ends; and if they fingered the assassin, they lose the game.&lt;br/&gt;&lt;br/&gt;Spymasters continue giving clues until one team has identified all of their agents or the assassin has removed one team from play.&lt;br/&gt;&lt;br/&gt;</description>]"
15,Pandemic,30549,5.0,4.0,4.0,['Medical'],"[<description>In Pandemic, several virulent diseases have broken out simultaneously all over the world! The players are disease-fighting specialists whose mission is to treat disease hotspots while researching cures for each of four plagues before they get out of hand.&lt;br/&gt;&lt;br/&gt;The game board depicts several major population centers on Earth. On each turn, a player can use up to four actions to travel between cities, treat infected populaces, discover a cure, or build a research station. A deck of cards provides the players with these abilities, but sprinkled throughout this deck are Epidemic! cards that accelerate and intensify the diseases' activity. A second, separate deck of cards controls the &amp;quot;normal&amp;quot; spread of the infections.&lt;br/&gt;&lt;br/&gt;Taking a unique role within the team, players must plan their strategy to mesh with their specialists' strengths in order to conquer the diseases. For example, the Operations Expert can build research stations which are needed to find cures for the diseases and which allow for greater mobility between cities; the Scientist needs only four cards of a particular disease to cure it instead of the normal five&amp;mdash;but the diseases are spreading quickly and time is running out. If one or more diseases spreads beyond recovery or if too much time elapses, the players all lose. If they cure the four diseases, they all win!&lt;br/&gt;&lt;br/&gt;The 2013 edition of Pandemic includes two new characters&amp;mdash;the Contingency Planner and the Quarantine Specialist&amp;mdash;not available in earlier editions of the game.&lt;br/&gt;&lt;br/&gt;Pandemic is the first game in the Pandemic series.&lt;br/&gt;&lt;br/&gt;</description>]"
16,Sheriff of Nottingham,157969,7.0,6.0,6.0,"['Bluffing', 'Card Game', 'Humor', 'Medieval', 'Negotiation', 'Novel-based', 'Party Game']","[<description>Prince John is coming to Nottingham! Players, in the role of merchants, see this as an opportunity to make quick profits by selling goods in the bustling city during the Prince's visit. However, players must first get their goods through the city gate, which is under the watch of the Sheriff of Nottingham. Should you play it safe with legal goods and make a profit, or risk it all by sneaking in illicit goods? Be mindful, though, as the Sheriff always has his eyes out for liars and tricksters and if he catches one, he very well may confiscate those goods for himself!&lt;br/&gt;&lt;br/&gt;In Sheriff of Nottingham, players will not only be able to experience Nottingham as a merchant of the city, but each turn one player will step into the shoes of the Sheriff himself. Players declare goods they wish to bring into the city, goods that are secretly stored in their burlap sack. The Sheriff must then determine who gets into the city with their goods, who gets inspected, and who may have their goods confiscated!&lt;br/&gt;&lt;br/&gt;Do you have what it takes to be seen as an honest merchant? Will you make a deal with the Sheriff to let you in? Or will you persuade the Sheriff to target another player while you quietly slip by the gate? Declare your goods, negotiate deals, and be on the lookout for the Sheriff of Nottingham!&lt;br/&gt;&lt;br/&gt;Sheriff of Nottingham is the first game in the Dice Tower Essentials Line from Arcane Wonders.&lt;br/&gt;&lt;br/&gt;</description>]"
17,Last Word,17709,8.0,6.0,8.0,"['Card Game', 'Party Game', 'Real-time', 'Word Game']","[<description>Last Word is the uproarious race to have the final say!  This party game has sold over 1,000,000 copies and is perfect for everyone ages 14 and up.&lt;br/&gt;&lt;br/&gt;Each round, blurt out answers while racing a timer and the other players.  For example, Subject: &amp;ldquo;Animals&amp;rdquo;, Letter: &amp;ldquo;L&amp;rdquo;.  Players yell out&amp;hellip; Lion!  Lemur!  Leech!  Leopard! The player with the Last Word before the timer sounds advances toward Finish.  Beware &amp;ndash; the timer is cleverly programmed to go off at random intervals.  Contents include Game Boards, 230 Subject and 56 Letter cards, 8 Pawns, an Electronic Random Timer (two AAA batteries not included) and Rules. Last Word is for 2-8 players.&lt;br/&gt;&lt;br/&gt;</description>]"
18,Bears vs. Babies,211534,6.0,7.0,5.0,"['Animals', 'Card Game', 'Comic Book / Strip', 'Humor']","[<description>Bears vs Babies is a card game in which you build handsome, incredible monsters who go to war with horrible, awful babies.&lt;br/&gt;&lt;br/&gt;The shared deck of cards consists of bear parts (and other monster parts) and baby cards. When you draw a part, you use it to build a monster for yourself; when you draw a baby, it goes in the center of the table. When babies are provoked, they attack, and anyone who has fewer monster parts than the number of attacking babies loses their monster; everyone with more parts than babies defeats this infantile army and scores.&lt;br/&gt;&lt;br/&gt;</description>]"
19,King of Tokyo,70323,8.0,8.0,7.0,"['Dice', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']","[<description>In King of Tokyo, you play mutant monsters, gigantic robots, and strange aliens&amp;mdash;all of whom are destroying Tokyo and whacking each other in order to become the one and only King of Tokyo.&lt;br/&gt;&lt;br/&gt;At the start of each turn, you roll six dice, which show the following six symbols: 1, 2, or 3 Victory Points, Energy, Heal, and Attack. Over three successive throws, choose whether to keep or discard each die in order to win victory points, gain energy, restore health, or attack other players into understanding that Tokyo is YOUR territory.&lt;br/&gt;&lt;br/&gt;The fiercest player will occupy Tokyo, and earn extra victory points, but that player can't heal and must face all the other monsters alone!&lt;br/&gt;&lt;br/&gt;Top this off with special cards purchased with energy that have a permanent or temporary effect, such as the growing of a second head which grants you an additional die, body armor, nova death ray, and more.... and it's one of the most explosive games of the year!&lt;br/&gt;&lt;br/&gt;In order to win the game, one must either destroy Tokyo by accumulating 20 victory points, or be the only surviving monster once the fighting has ended.&lt;br/&gt;&lt;br/&gt;First Game in the King of Tokyo series&lt;br/&gt;&lt;br/&gt;</description>]"
20,Smash Up,122522,5.0,7.0,4.0,"['Card Game', 'Fantasy', 'Humor', 'Pirates', 'Science Fiction', 'Zombies']","[<description>The &amp;quot;shufflebuilding&amp;quot; game Smash Up begins with a simple premise: take the 20-card decks of two factions, shuffle them into a deck of forty cards, then compete to crush more Bases than your opponents! Each faction involves a different gaming mechanism - Pirates move their minions around, Zombies bring back their cards from the discard pile, Dinosaurs have enormous power - and each combination of factions brings a different gaming experience.&lt;br/&gt;&lt;br/&gt;During the game, players compete to score points from Base cards. Players play minions to the bases, and you want to have the highest total power of minions at the base when it breaks. Sounds easy? Is it easy when an opponent's Alien-Ninja plays minions to your bases that destroy your minions? What happens when the Pirate-Dinosaur player plays Full Sail and frees King Rex to trample your minions into the ground, or when the Wizard-Zombies player uses their mystic power to create an outbreak, suddenly flooding minions to the base from their discard pile? Or if you were facing a Zombie-Dinosaur player instead who created an epidemic of massive beasts?!?&lt;br/&gt;&lt;br/&gt;With eight different factions, Smash Up includes dozens of combinations to try. Pirate-Aliens play different from Ninja-Aliens, for example. Which one will you use to crush your opponents?&lt;br/&gt;&lt;br/&gt;And did we mention the Dinosaurs have laser beams?&lt;br/&gt;&lt;br/&gt;</description>]"
21,Say Anything,33604,7.0,5.0,7.0,"['Humor', 'Party Game']","[<description>Say Anything is a light-hearted game about what you and your friends think. It gives you the chance to settle questions that have been hotly debated for centuries. For instance, &amp;quot;What is the most overrated band of all time?&amp;quot; or &amp;quot;Which celebrity would be the most fun to hang out with for a day?&amp;quot; So dig deep into your heart or just come up with something witty - this is your chance to Say Anything!&lt;br/&gt;&lt;br/&gt;How to Play&lt;br/&gt;1) Ask a question from the card you draw.  For example:&lt;br/&gt;- If you could have a &amp;quot;BIG&amp;quot; anything, what would it be?&lt;br/&gt;- What's the most important invention of the last century?&lt;br/&gt;- Which website would be hardest to live without?&lt;br/&gt;- What's the best activity for a first date?&lt;br/&gt;- What's the worst thing to say to a cop after getting pulled over?&lt;br/&gt;&lt;br/&gt;2) Everyone else writes an answer and throws it face-up on the table as fast as possible.  No duplicate answers are allowed!&lt;br/&gt;&lt;br/&gt;3) Secretly choose your favorite response using a genuine state of the art SELECT-O-MATIC 5000: 		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;		&lt;br/&gt;&lt;br/&gt;4) Everyone else has two betting tokens to bet on which answer you chose.  They can bet both tokens on one answer or split them between two different answers.&lt;br/&gt;&lt;br/&gt;Who Will Like This Game?&lt;br/&gt;Say Anything is a pure party game.  It was designed to get a party started as quickly as possible by prompting people to talk about interesting things and to make ridiculous statements.  If you are looking for great social interaction and lots of laughs, then you will probably enjoy playing Say Anything.&lt;br/&gt;&lt;br/&gt;History&lt;br/&gt;Say Anything was designed by Dominic Crapuchettes &amp;amp; Satish Pillalamarri.  It was first work-shopped by game designers at Protospiel 2004 and refined at Protospiel 2005, PowWow 2005, the GoF 2005 - 2007, and weekly game nights at the Looney Labs.&lt;br/&gt;&lt;br/&gt;</description>]"
22,Cutthroat Caverns,28259,7.0,7.0,7.0,"['Adventure', 'Card Game', 'Fantasy', 'Fighting', 'Humor']","[<description>&amp;quot;Without teamwork, you will never survive. Without betrayal, you&amp;rsquo;ll never win.&amp;quot;&lt;br/&gt;&lt;br/&gt;Cutthroat Caverns is played over 9 rounds, each with a random encounter.  Essentially a game of 'kill stealing'. Each round, any monster encountered will have a prestige value of 1 through 6.  The player that successfully jockeys for position and lands the killing blow gets the prestige value for the encounter.  Some encounters will not have a specific monster, such as a trap room for the heroes to pass through (and in this case, earning no prestige).  The surviving player with the most prestige after the 9 encounters is the winner.  If the players do not survive all 9 encounters, no one wins the game.&lt;br/&gt;&lt;br/&gt;A unique combination of cooperative game play and opportunistic backstabbing.&lt;br/&gt;&lt;br/&gt;</description>]"
